student_id,gender,age,department,course,historical_grade,previous_grade,assignment_score,quiz_score,midterm_score,attendance_percentage,lms_login_count,lms_activity_count,study_hours,performance_status
S0127,Female,23,Mathematics,PHY101,74.1,83.0,68.4,73.4,29.9,81.6,55,94,16.8,PASS
S0128,Female,22,Business,BUS101,72.1,72.9,53.4,68.0,48.8,85.5,46,63,11.1,PASS
S0129,Male,26,Computer Science,ENG101,76.4,72.6,48.6,61.3,41.5,70.9,30,71,11.2,PASS
S0130,Male,24,Business,CS101,84.7,82.9,73.0,57.7,59.6,63.2,46,88,16.5,PASS
S0131,Male,25,Engineering,BUS101,62.6,60.0,58.1,32.4,47.9,90.9,33,87,16.4,PASS
S0132,Male,18,Physics,MATH101,68.0,71.6,74.8,72.2,42.0,79.0,32,75,14.1,PASS
S0133,Male,28,Computer Science,CS201,82.3,92.1,48.1,49.8,57.0,94.6,37,92,20.3,PASS
S0134,Male,19,Business,PHY101,42.6,43.2,63.0,38.3,22.5,71.0,48,63,16.4,FAIL
S0135,Female,25,Engineering,BUS101,45.2,50.6,72.2,39.6,11.4,64.8,27,59,9.9,FAIL
S0136,Male,29,Physics,MATH101,69.9,63.2,64.8,55.7,24.3,98.3,40,78,10.9,PASS
S0137,Male,26,Engineering,CS101,59.2,70.9,40.8,40.0,11.4,77.0,40,84,16.9,FAIL
S0138,Female,21,Physics,CS101,56.1,49.4,50.5,76.9,42.0,78.0,31,86,21.6,PASS
S0139,Male,29,Physics,MATH101,70.1,76.1,67.5,67.3,43.0,79.3,34,80,15.5,PASS
S0140,Female,27,Computer Science,PHY101,85.8,87.5,71.5,83.6,15.1,71.5,41,115,15.9,PASS
S0141,Female,28,Mathematics,MATH101,67.4,61.1,54.0,46.8,47.3,85.6,36,73,19.0,PASS
S0142,Male,27,Physics,CS201,75.1,79.3,65.5,45.1,44.9,86.7,47,91,17.8,PASS
S0143,Male,26,Computer Science,CS101,94.2,94.1,83.8,99.7,44.7,97.2,41,91,19.6,PASS
S0144,Male,21,Engineering,MATH101,62.3,57.7,58.1,46.0,25.4,70.6,51,69,13.8,PASS
S0145,Male,27,Engineering,ENG101,76.2,76.2,52.8,58.3,41.4,67.1,41,75,16.4,PASS
S0146,Male,27,Computer Science,ENG101,95.7,87.5,99.2,62.9,70.8,94.4,60,96,16.6,PASS
S0147,Female,27,Computer Science,MATH101,54.0,51.6,42.6,40.6,32.0,89.3,36,54,19.8,FAIL
S0148,Male,26,Computer Science,CS201,94.1,89.3,78.1,80.3,47.0,72.2,36,103,17.1,PASS
S0149,Male,28,Computer Science,CS101,73.4,72.5,41.7,56.1,69.8,68.1,37,93,6.4,PASS
S0150,Male,24,Engineering,ENG101,50.0,41.3,43.4,67.4,41.0,69.5,39,85,12.2,FAIL
S0151,Female,19,Computer Science,MATH101,86.2,77.3,62.8,47.6,62.5,70.9,38,118,19.4,PASS
S0152,Male,26,Mathematics,MATH101,67.5,63.2,56.6,57.3,52.1,76.3,40,89,20.1,PASS
S0153,Male,21,Business,BUS101,100.0,99.8,84.4,72.1,74.2,93.8,53,84,18.7,PASS
S0154,Male,25,Computer Science,MATH101,63.7,58.8,61.8,57.9,43.2,86.4,42,76,10.6,PASS
S0155,Female,24,Business,CS201,70.8,73.1,60.4,58.6,42.7,86.7,46,86,19.3,PASS
S0156,Male,24,Business,ENG101,55.2,58.7,60.1,61.9,34.4,75.1,38,74,11.0,PASS
S0157,Female,25,Physics,BUS101,70.5,66.2,66.1,56.3,25.7,93.9,33,71,17.3,PASS
S0158,Female,18,Computer Science,ENG101,59.3,66.3,37.9,55.2,8.7,58.7,36,69,10.7,FAIL
S0159,Male,22,Computer Science,ENG101,85.6,84.1,91.6,94.2,59.9,75.1,46,99,15.0,PASS
S0160,Female,19,Physics,CS201,75.3,84.5,71.1,48.3,67.0,82.9,46,98,15.0,PASS
S0161,Male,19,Physics,MATH101,73.1,71.8,53.9,54.0,39.3,74.2,36,80,12.2,PASS
S0162,Female,18,Business,CS201,58.6,52.9,75.2,83.3,51.8,76.2,37,83,8.9,PASS
S0163,Female,22,Mathematics,MATH101,72.1,78.3,70.3,76.4,61.7,86.5,57,65,14.0,PASS
S0164,Female,19,Computer Science,BUS101,70.4,65.2,49.6,42.2,36.1,75.6,49,69,15.7,PASS
S0165,Male,21,Engineering,CS201,82.7,88.4,81.0,100.0,64.1,79.3,52,90,24.8,PASS
S0166,Female,20,Computer Science,CS201,45.4,46.0,55.1,56.5,34.8,71.0,33,52,12.6,PASS
S0167,Male,20,Computer Science,PHY101,75.5,72.7,80.7,55.7,41.4,91.4,44,90,16.6,PASS
S0168,Male,19,Mathematics,CS101,100.0,96.2,87.9,75.0,66.4,96.3,50,79,20.5,PASS
S0169,Male,23,Computer Science,CS201,56.7,56.2,49.6,46.7,37.4,85.0,41,97,14.8,PASS
S0170,Female,19,Engineering,PHY101,88.5,91.9,65.2,69.2,29.5,88.1,37,114,18.2,PASS
S0171,Female,25,Physics,CS101,80.8,80.6,61.3,64.3,78.3,86.0,38,112,20.4,PASS
S0172,Male,25,Computer Science,MATH101,52.1,59.5,40.2,32.9,18.4,87.3,24,62,13.8,PASS
S0173,Male,29,Physics,MATH101,85.0,79.1,83.7,55.2,53.4,76.9,51,105,17.3,PASS
S0174,Male,22,Physics,MATH101,65.6,65.2,67.1,56.6,61.4,91.6,46,74,12.1,PASS
S0175,Female,27,Business,PHY101,66.3,71.8,65.5,54.0,36.5,81.6,35,55,16.3,PASS
S0176,Male,24,Computer Science,PHY101,86.0,79.9,88.3,53.2,42.7,86.3,40,82,21.4,PASS
S0177,Female,21,Engineering,CS101,89.2,94.4,83.5,78.4,55.1,81.7,53,108,20.7,PASS
S0178,Male,18,Engineering,MATH101,50.1,50.2,71.9,50.9,25.9,87.1,41,80,11.0,PASS
S0179,Female,28,Engineering,ENG101,86.1,86.6,68.1,84.1,66.3,94.3,59,84,17.9,PASS
S0180,Male,19,Computer Science,CS201,87.5,85.8,79.8,75.1,42.4,72.7,40,91,23.3,PASS
S0181,Male,27,Physics,PHY101,90.6,84.5,79.7,60.0,47.5,90.4,46,86,21.7,PASS
S0182,Male,27,Computer Science,PHY101,77.2,76.8,87.8,78.1,45.3,75.9,44,86,18.2,PASS
S0183,Female,21,Business,PHY101,77.3,74.6,45.2,66.2,30.9,80.5,48,109,14.7,PASS
S0184,Female,18,Computer Science,CS101,49.5,57.1,42.3,75.9,23.1,59.8,43,69,13.8,PASS
S0185,Male,25,Business,MATH101,29.7,32.3,46.1,58.9,11.3,70.5,28,92,14.8,FAIL
S0186,Female,26,Physics,ENG101,75.9,76.1,60.5,70.3,30.4,84.8,45,73,16.8,PASS
S0187,Female,21,Computer Science,CS201,64.5,71.1,75.1,91.7,31.2,82.0,37,90,6.8,PASS
S0188,Female,27,Computer Science,CS201,74.3,74.1,47.6,60.0,53.5,78.2,31,101,22.0,PASS
S0189,Female,20,Business,MATH101,63.1,66.6,71.4,56.4,13.8,76.2,32,61,17.3,PASS
S0190,Male,19,Business,ENG101,74.2,80.1,82.6,60.1,56.7,63.5,39,92,13.8,PASS
S0191,Male,22,Business,CS101,64.9,63.5,74.5,47.5,32.6,89.1,44,62,14.3,PASS
S0192,Female,20,Engineering,PHY101,78.6,80.8,66.8,86.9,51.1,65.9,27,117,16.1,PASS
S0193,Female,27,Computer Science,PHY101,38.8,36.6,58.4,43.1,35.3,75.6,36,89,9.6,FAIL
S0194,Female,24,Physics,MATH101,62.8,68.6,72.2,46.2,26.4,76.6,44,91,14.2,PASS
S0195,Male,28,Physics,CS201,82.6,82.5,88.5,66.8,55.0,90.5,41,92,19.7,PASS
S0196,Male,23,Engineering,PHY101,75.2,82.0,83.7,69.5,29.4,84.1,58,80,21.2,PASS
S0197,Female,18,Mathematics,CS201,70.4,71.4,71.2,52.7,25.5,71.3,43,75,13.6,PASS
S0198,Female,29,Engineering,CS201,85.8,98.6,79.3,65.6,48.6,91.4,48,115,20.5,PASS
S0199,Female,25,Engineering,MATH101,71.7,68.2,72.3,37.1,41.1,81.1,40,88,13.3,PASS
S0200,Female,19,Computer Science,BUS101,71.9,76.2,76.4,54.6,54.7,79.3,27,105,19.3,PASS
S0201,Female,22,Engineering,BUS101,54.1,53.9,44.0,37.8,14.8,78.5,31,97,14.2,FAIL
S0202,Male,26,Engineering,BUS101,59.8,58.7,53.0,65.0,43.0,89.5,32,78,13.8,PASS
S0203,Male,25,Computer Science,ENG101,54.0,44.5,55.3,33.3,27.4,72.6,41,74,12.3,FAIL
S0204,Female,19,Engineering,MATH101,59.0,59.4,50.7,47.5,33.7,81.4,33,76,17.3,PASS
S0205,Female,26,Mathematics,CS201,86.8,81.9,67.4,67.5,26.3,88.1,48,81,13.9,PASS
S0206,Male,22,Business,PHY101,47.8,46.2,60.7,38.3,25.9,70.1,21,72,15.6,FAIL
S0207,Male,27,Business,ENG101,31.6,26.9,44.2,40.3,27.8,63.6,40,65,8.1,FAIL
S0208,Female,23,Physics,BUS101,67.8,63.8,63.0,61.3,36.8,70.3,46,94,17.6,PASS
S0209,Male,20,Computer Science,CS101,54.0,48.7,45.9,65.8,27.8,81.2,36,75,13.6,FAIL
S0210,Male,20,Business,ENG101,59.4,54.1,55.6,55.0,57.6,71.9,34,91,10.5,PASS
S0211,Female,27,Mathematics,ENG101,98.8,90.8,97.3,55.7,58.4,77.0,56,108,18.8,PASS
S0212,Female,25,Engineering,MATH101,52.9,54.7,45.3,44.2,10.1,75.3,32,87,10.2,FAIL
S0213,Female,28,Engineering,PHY101,76.8,76.9,58.1,62.9,26.9,92.8,39,91,12.4,PASS
S0214,Male,27,Computer Science,ENG101,64.8,68.3,69.1,74.7,56.3,91.1,38,90,15.8,PASS
S0215,Female,27,Mathematics,PHY101,72.7,70.7,68.3,61.0,37.3,53.3,54,90,10.8,PASS
S0216,Male,29,Engineering,MATH101,64.7,61.4,72.0,59.8,48.3,80.7,34,60,12.4,PASS
S0217,Male,19,Mathematics,CS101,89.6,89.2,68.3,68.0,49.0,92.1,52,89,19.6,PASS
S0218,Female,28,Business,CS201,65.9,69.4,80.9,70.8,44.1,84.5,34,69,11.8,PASS
S0219,Female,29,Business,CS201,91.2,92.7,64.6,57.0,49.0,86.5,30,118,22.4,PASS
S0220,Female,29,Mathematics,BUS101,67.1,67.2,74.0,40.9,38.3,96.2,43,98,21.3,PASS
S0221,Female,19,Business,BUS101,92.6,95.9,67.2,41.0,60.8,100.0,41,100,23.7,PASS
S0222,Female,22,Engineering,CS101,69.8,69.9,55.7,71.7,26.6,80.1,39,91,16.9,PASS
S0223,Male,23,Engineering,CS201,87.3,84.3,73.0,67.6,55.6,82.0,53,115,17.6,PASS
S0224,Male,29,Mathematics,BUS101,84.1,88.6,70.1,71.4,52.5,88.6,38,84,18.0,PASS
S0225,Male,19,Engineering,PHY101,46.7,40.4,45.5,43.8,9.3,78.8,31,92,17.0,FAIL
S0226,Male,22,Engineering,ENG101,71.4,64.3,57.5,38.3,74.8,81.9,47,113,11.9,PASS
S0227,Female,24,Computer Science,MATH101,54.3,54.2,67.5,51.6,28.1,77.7,33,78,7.8,PASS
S0228,Male,27,Physics,BUS101,100.0,100.0,91.8,70.5,47.2,100.0,51,88,19.3,PASS
S0229,Female,27,Computer Science,CS101,66.3,67.5,67.6,44.2,57.4,95.5,39,80,15.7,PASS
S0230,Female,25,Business,CS201,70.4,68.8,60.7,68.8,27.1,88.9,40,101,18.7,PASS
S0231,Female,29,Engineering,CS101,100.0,100.0,75.5,77.4,52.5,99.2,48,108,22.8,PASS
S0232,Male,24,Engineering,MATH101,59.1,51.6,64.7,67.6,37.2,86.3,41,84,18.5,PASS
S0233,Female,25,Business,MATH101,34.8,35.5,57.5,60.6,13.7,68.4,15,54,10.3,FAIL
S0234,Male,29,Computer Science,CS101,100.0,100.0,74.2,87.1,66.3,94.5,48,101,19.8,PASS
S0235,Male,26,Business,BUS101,52.9,59.8,62.5,54.9,38.2,78.5,30,81,13.4,PASS
S0236,Female,22,Mathematics,BUS101,50.5,57.2,72.6,33.8,20.9,87.5,41,69,9.2,PASS
S0237,Male,22,Mathematics,CS201,54.6,49.1,59.4,50.7,50.3,79.3,46,71,17.4,PASS
S0238,Male,28,Computer Science,PHY101,71.4,73.2,58.2,48.0,39.1,90.0,41,97,14.8,PASS
S0239,Female,27,Mathematics,CS201,88.8,87.8,69.2,58.5,55.7,85.4,45,104,17.4,PASS
S0240,Male,21,Business,ENG101,87.6,87.5,79.2,81.1,47.9,93.2,50,95,18.9,PASS
S0241,Female,26,Mathematics,PHY101,78.3,84.0,63.7,45.0,41.6,86.2,45,86,14.4,PASS
S0242,Female,22,Engineering,ENG101,54.4,63.9,56.6,77.4,31.8,68.8,35,76,12.5,PASS
S0243,Female,19,Engineering,CS201,65.7,67.0,65.4,65.3,61.6,86.9,42,99,16.4,PASS
S0244,Male,27,Physics,PHY101,56.3,46.4,62.4,60.9,38.8,87.3,34,87,17.7,PASS
S0245,Male,25,Mathematics,PHY101,74.4,66.1,67.3,26.3,32.0,65.8,48,90,17.0,PASS
S0246,Female,24,Engineering,ENG101,100.0,99.8,69.9,50.3,60.9,72.6,60,125,25.4,PASS
S0247,Male,25,Computer Science,CS101,51.2,56.2,42.1,74.2,24.0,77.7,34,66,12.0,PASS
S0248,Female,29,Engineering,BUS101,57.4,53.5,60.5,42.3,46.1,81.2,41,62,8.4,PASS
S0249,Female,20,Engineering,PHY101,63.4,62.5,65.8,71.1,36.7,70.0,23,46,10.1,PASS
S0250,Female,21,Computer Science,PHY101,78.5,86.6,75.2,57.4,30.1,86.4,30,98,18.2,PASS
S0251,Male,22,Computer Science,ENG101,76.2,74.2,49.3,43.6,50.6,81.9,45,111,15.6,PASS
S0252,Male,23,Mathematics,PHY101,80.1,88.9,58.3,42.0,38.1,63.7,41,112,20.3,PASS
